Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category,w
250317.8481,1,30,61,83.79,469.23,0,0.25,1176.04,923.662,57.733,331.47,378.63,22,0.94,2500,0.84,2,86.39,99.99,1.03,131,
250317.8481,2,50,102,187.18,303.01,0,0.25,1497.76,1176.342,73.523,206.56,233.94,15,0.93,3251,0.7,2,34.62,68.1,1.03,131,
349.752,5,56,117,473.99,690.8,156.06,0.37,10911.9,12785.52,1540.63,671.68,851.53,15,0.92,9363,0.61,2,82.55,70.35,1.02,146,
250317.8481,2,10,22,616.59,888.1,0,0.25,3000.58,2356.652,147.293,622.46,695.32,8,0.94,6279,0.61,2,126.55,105.38,1.02,131,
465.762,7,29,65,277.62,1144.14,179.97,0.43,7207.54,10076.92,3417.923,1074.12,1261.91,14,0.86,5559,0.56,1.8,87.26,61.01,1.04,142,
1304.362,7,80,167,666.8,709.27,316.96,0.69,22516,48630.42,10061.63,829.49,1069.07,17,0.8,15103,0.46,1.84,80.87,51.81,1.06,142,
250317.8481,2,6,14,38.62,74.68,0,0.25,226.78,178.112,11.133,69.16,82.12,5,0.94,160,0.43,2,57.52,85.91,1.02,131,
250317.8481,2,12,26,127.07,273.18,0,0.25,563.32,442.432,27.653,241.3,343.92,9,0.96,1147,0.57,2,114.81,112.02,1.03,131,
250317.8481,2,6,14,100.09,341.86,0,0.25,686.69,539.322,33.713,199.88,255.61,6,0.91,1413,0.66,2,43.53,101.44,1.03,131,
8693.962,8,23,54,505.6,799.26,0,1,6215.16,19525.52,4881.373,649.43,796.46,6,0.9,1095,0.62,2,52.03,70.25,1.02,125,
12517.62,13,39,91,556.93,732.96,0,1,6502.49,20428.22,5107.053,532.84,576.38,7,0.95,1122,0.7,2,74.33,75.6,1.01,125,
